BDRC Resource ID,Gender,DOB,DOD,label_bo,Wikidata ID,label_zh-hans,label_en,Alias_bo_1,Alias_bo_2,Alias_bo_3,Alias_bo_4,Alias_bo_5,Alias_bo_6
P1937,male,,,Khenpo Kawa,Khenpo Kawa,,,དར་མ་སེངྒེ,མཁན་པོ་ཀ་བ་ཌར་མ་སེངྒེ,,,,
P8LS12916,,,,དགོན་རྩེ་སྤྲུལ་སྐུ་བློ་བཟང་བསྟན་པའི་རྒྱལ་མཚན།,དགོན་རྩེ་སྤྲུལ་སྐུ་བློ་བཟང་བསྟན་པའི་རྒྱལ་མཚན།,,,མཚོ་སྣ་དགོན་རྩེ་སྤྲུལ་སྐུ ༠༣,བློ་བཟང་བསྟན་པའི་རྒྱལ་མཚན།,,,,
P8LS13506,,,,སློབ་དཔོན་རིན་ཆེན་དབང་ཕྱུག,སློབ་དཔོན་རིན་ཆེན་དབང་ཕྱུག,,,རིན་ཆེན་དབང་ཕྱུག,,,,,
P8LS14289,,,,དཔྱལ་བན་རྒྱ་མཚོ།,དཔྱལ་བན་རྒྱ་མཚོ།,,,རྒྱ་མཚོ།,,,,,
P5831,male,,,Sönam Rabgyé,Sönam Rabgyé,,,གར་ཞྭ་པ་བསོད་ནམས་རབ་རྒྱས།,,,,,
P8854,male,1601,,Gyalkhang Tsé Tulku Chö Jor Gyatso,Gyalkhang Tsé Tulku Chö Jor Gyatso,,,ཆོས་འབྱོར་རྒྱ་མཚོ།,,,,,
P6211,female,,,༨༣།,༨༣།,,,,,,,,
P1215,male,1495,1564,Pendrub Zangpo Tashi,Pendrub Zangpo Tashi,,,བཟང་པོ་བཀྲ་ཤིས།,,,,,
P1925,male,,,Tashi,Tashi,,,,,,,,
P9326,male,,,Teng Chen Mu Tsé Tsuk Trul Sherab Tendzin,Teng Chen Mu Tsé Tsuk Trul Sherab Tendzin,,,ཤེས་རབ་བསྟན་འཛིན།,,,,,
