70,bdr:P1583,bdo:personTeacherOf,bdr:P2JM200
71,bda:LGAF7D0940EAE3607E,rdf:type,adm:UpdateData
72,bdr:P2JM183,bdo:personTeacherOf,bdr:P1583
73,bda:LG98727DC2859B3588,rdf:type,adm:InitialDataCreation
74,bda:LG07470B2F724FDEA6,adm:logDate,2021-05-03T11:03:27.541000+00:00
75,bdr:NM27A9E6B52AE2AFD6,rdf:type,bdo:PersonTitle
76,bda:LG0648F5705843763B,adm:logDate,2011-07-01T04:41:07.905000+00:00
77,bda:LG663351B387DD33FA,adm:logMessage,corrected title and name variant designations
78,bdr:P8527,bdo:personStudentOf,bdr:P1583
79,bdr:P1583,bdo:personEvent,bdr:EV81A442B676BCDB2A
80,bdr:P2JM187,bdo:personTeacherOf,bdr:P1583
81,bdr:P1583,bdo:personTeacherOf,bdr:P2JM196
82,bdr:P1583,bdo:personName,bdr:NM27A9E6B52AE2AFD6
83,bdr:P1583,bdo:personStudentOf,bdr:P1586
84,bdr:P1583,bdo:personStudentOf,bdr:P2JM186
85,bda:LG5A51821BAE247EF6,adm:logDate,2011-04-27T12:51:43.397000+00:00
86,bdr:NMBC6B2B658373DD69,rdf:type,bdo:PersonTitle
87,bdr:P403,bdo:personTeacherOf,bdr:P1583
88,bdr:P2JM193,bdo:personStudentOf,bdr:P1583
89,bdr:NMFB54273C9888828B,rdfs:label,klong chen pa/
90,bda:P1583,adm:graphId,bdg:P1583
91,bda:LG663351B387DD33FA,rdf:type,adm:UpdateData
92,bdr:NMFB54273C9888828B,rdf:type,bdo:PersonCommonName
93,bdr:P1583,bdo:personStudentOf,bdr:P2JM183
94,bdr:P1583,bdo:personName,bdr:NME2F236C649A1C622
95,bdr:P1583,bdo:personEvent,bdr:EVDD9AB2BD104D0A7D
96,bda:LG663351B387DD33FA,adm:logWho,ns1:U00012
97,bdr:NTF24F5C4DD8140821,bdo:noteText,"L. v.d. Kuijp has verified that the date of death of the subject was January, 1364. Also the unrecorded teacher Ston tshul may have been Btsun pa Ston tshul, Sa-skya scholar and author of at least two works on Tshad ma."
98,bdr:P2JM198,bdo:personStudentOf,bdr:P1583
99,bda:LG757F77D8BA18E640,rdf:type,adm:UpdateData
100,bdr:P2JM190,bdo:personTeacherOf,bdr:P1583
101,bda:LGAF7D0940EAE3607E,adm:logMessage,added records
102,bdr:NTE1C8F77F6AFC308F,rdf:type,bdo:Note
103,bdr:P1583,rdf:type,bdo:Person
104,bdr:NT93D338F6A346B51D,bdo:contentLocationStatement,"v. 2, pp.104-112"
105,bdr:NM27A9E6B52AE2AFD6,rdfs:label,klong chen rab 'byams/
106,bdr:P1585,bdo:hasSon,bdr:P1583
107,bdr:P1583,bdo:hasParent,bdr:P1585
108,bda:LG0648F5705843763B,rdf:type,adm:UpdateData
109,bda:LG757F77D8BA18E640,adm:logMessage,added records
110,bda:P1583,adm:logEntry,bda:LG5A51821BAE247EF6
111,bdr:P1583,bdo:personTeacherOf,bdr:P8528
112,bdr:P1585,bdo:hasChild,bdr:P1583
113,bdr:P1583,bdo:personTeacherOf,bdr:P2JM205
114,bdr:P1583,bdo:personEvent,bdr:EV00B857229AAA1BF0
115,bdr:P2JM192,bdo:personStudentOf,bdr:P1583
116,bdr:NTABB307C08F280C09,rdf:type,bdo:Note
117,bda:LG07470B2F724FDEA6,adm:logMessage,released
118,bda:LG6B646336F5EE567D,adm:logMessage,added name rgyal sras thugs mchog rtsal
119,bdr:P1583,bdo:personStudentOf,bdr:P2085
120,bda:LG650F49A48542C160,adm:logWho,ns1:U00020
121,bdr:P1583,bdo:personName,bdr:NMF942A81B0A73E4AA
122,bdr:P1583,bdo:personStudentOf,bdr:P4312
123,bdr:P1583,bdo:personTeacherOf,bdr:P2JM206
124,bdr:P1583,bdo:note,bdr:NT93D338F6A346B51D
125,bdr:P1583,bdo:personName,bdr:NMBC6B2B658373DD69
126,bdr:NMED06EB68CC7F2B88,rdfs:label,dri med 'od zer/
127,bdr:P1586,bdo:personTeacherOf,bdr:P1583
128,bdr:P1583,bdo:personName,bdr:NM9C8DEB6FF7CEC129
129,bdr:P2JM197,bdo:personStudentOf,bdr:P1583
130,bdr:P1583,bdo:kinWith,bdr:P8528
