BDRC Resource ID,Gender,DOB,DOD,Traditions,Wiki-ID Traditions,Role1,Role2,Role3,Role4,Role5,Role6,Role7,Role8,label_bo,label_zh-hans,label_en,Alias_bo_1,Alias_bo_2,Alias_bo_3,Alias_bo_4,Alias_bo_5,Alias_bo_6,Alias_bo_7,Alias_bo_8,Alias_bo_9,Alias_bo_10,Alias_bo_11,Alias_bo_12,Alias_bo_13,Alias_bo_14,Alias_bo_15,Alias_bo_16,Alias_bo_17,Alias_zh_1,Alias_zh_2,Alias_en_1,Alias_en_2,Alias_en_3,Alias_en_4
P8LS12970,,,,,,,,,,,,,,པདྨ་དབང་ཆེན།,,Nyetang Mokchok Tulku 06,མཉེས་ཐང་སྨོག་ལྕོག་སྤྲུལ་སྐུ ༠༦,,,,,,,,,,,,,,,,,,,,,,
P2KG228939,,,,,,main author,compiler,,,,,,,པདྨ་དབང་ཆེན།,,,,,,,,,,,,,,,,,,,,,,,,,
P1KG15045,,,,,,main author,,,,,,,,བཀྲ་ཤིས་རྡོ་རྗེ།,,,ཀོ་བཙོ་བཀྲ་ཤིས་རྡོ་རྗེ།,,,,,,,,,,,,,,,,,,,,,,
P3CN26525,,,,,,translator,main author,,,,,,,རྡོ་རྗེ་བཀྲ་ཤིས།,多吉扎西,,,,,,,,,,,,,,,,,,,,,,,,
P8LS12940,,,,,,,,,,,,,,པདྨ་བསྟན་འཛིན།,,,བཟད་སྒོམ་ཆེན་པདྨ་གླིང་གི་སྤྲུལ་སྐུ ༠༡,,,,,,,,,,,,,,,,,,,,,,
P8LS12939,,,,,,,,,,,,,,པདྨ་བསྟན་འཛིན།,,,ཆུ་ཤུར་སྦུད་སྡེ་སྒོམ་ཆེན་པདྨ་གླིང་གི་སྤྲུལ་སྐུ ༠༦,,,,,,,,,,,,,,,,,,,,,,
P1KG21031,,,,,,main author,,,,,,,,འཇམ་དབྱངས་རྒྱལ་མཚན།,,jamyang gyaltshan,མང་སྤྲོ་འཇམ་དབྱངས་རྒྱལ་མཚན།,,,,,,,,,,,,,,,,,,,,,,
P1KG13606,Male,,,,,compiler,,,,,,,,འཇམ་དབྱངས་རྒྱལ་མཚན།,,,རིག་མཚོ་འཇམ་དབྱངས་རྒྱལ་མཚན།,,,,,,,,,,,,,,,,,,,,,,
P8LS12686,,,,,,,,,,,,,,བདུད་འདུལ་རྡོ་རྗེ།,,,ལྷ་གསོལ་གླིང་དགོན་སྤྲུལ་སྐུ་གཞོན་པ ༠༢,,,,,,,,,,,,,,,,,,,,,,
P1KG22994,,,,,,main author,translator,,,,,,,བདུད་འདུལ་རྡོ་རྗེ།,,,,,,,,,,,,,,,,,,,,,,,,,
P4PD5144,,,,,,main author,compiler,,,,,,,བསོད་ནམས་དབང་རྒྱལ།,,,,,,,,,,,,,,,,,,,,,,,,,
P8LS15067,,,,,,,,,,,,,,དབང་ཕྱུག,,,,,,,,,,,,,,,,,,,,,,,,,
P8LS15638,,,,,,,,,,,,,,དབང་ཕྱུག,,,,,,,,,,,,,,,,,,,,,,,,,
P8LS12209,,,,Kadam,Q588362,,,,,,,,,དངོས་གྲུབ་རྒྱ་མཚོ།,,,ཟངས་མཁར་བ་དངོས་གྲུབ་རྒྱ་མཚོ།,བྱ་ཁྱུང་མཁན་རབས ༡༡,,,,,,,,,,,,,,,,,,,,,
P1KG15928,,,,,,main author,commentator,,,,,,,དངོས་གྲུབ་རྒྱ་མཚོ།,,,དྲུང་ཆེན་དངོས་གྲུབ་རྒྱ་མཚོ།,,,,,,,,,,,,,,,,,,,,,,
P4CN12068,,,,,,translator,,,,,,,,བློ་བཟང་ཚེ་རིང་།,,,,,,,,,,,,,,,,,,,,,,,,,
P8LS75465,,,,,,compiler,,,,,,,,བློ་བཟང་ཚེ་རིང་།,,,,,,,,,,,,,,,,,,,,,,,,,
P2KG228943,,,,,,translator,compiler,,,,,,,རྒྱལ་མཚན།,,,,,,,,,,,,,,,,,,,,,,,,,
P1KG16710,,,,,,main author,,,,,,,,རྒྱལ་མཚན།,,,མང་རའི་རྒྱལ་མཚན།,,,,,,,,,,,,,,,,,,,,,,
