BDRC_ID,PlaceType,label_bo,label_zh-hans,label_en,label_zh-pinin,label_mn-x-trans,alias_bo,alias_zh-hans,alias_en,alias_zh-pinin,alias_mn-x-trans,Latitude,Longitude,FoundedOn,ConvertedOn
G1PD95982,monastery,བཀྲ་ཤིས་རྩེའི་རི་ཁྲོད།,逊布寺,,,,བསམ་གཏན་གླིང་།,,,xunbu si,,37.14593,101.56010,1865,
G1KR2079,monastery,གསར་ཁྲི་སྒར་པ།,赛赤噶尔哇寺,,,,,,,saichi ga'erwa si,,37.11000,101.46000,1373,
G1KR2432,monastery,སྒོ་ལ་ཁ་དགོན་པ།,郭拉卡寺,,,,,,,guolaka si,,35.51000,101.96000,1720,
G206,monastery,སྡིངས་པོ་ཆེ།,顶波奇寺,Dingpoche Chogdra,,,སྡིངས་པོ་ཆེ་ཅོག་གྲྭ།,,,dingboqi si,,29.13939,91.30986,1567,
G2GS1050,monastery,དགའ་ལྡན་མ་མོ།,,,,,ཀོང་པོ་དགའ་ལྡན་མ་མོ།,,,,,,,,
G2CN10861,printery,དགའ་ལྡན་བྱང་རྩེ་གྲྭ་ཚང་གི་པར་ཁང་།,,,,,,,,,,,,,
G1KR75,monastery,བོ་ལ་དགོན།,莫拉寺,,,,སྟོབས་ལྡན་གླང་ཆེན་དགོན།,马尔康镇莫拉寺,,mola si,,31.92636,102.20537,1000,
G1KR2525,monastery,དགའ་ལྡན་དར་རྒྱལ་གླིང་།,尕旦寺,,,,,尕旦达吉林,,gadan si,,36.01175,101.50706,1753,
G3658,monastery,ཀླུ་མོ་དགོན།,,,,,,,,,,,,,
G1KR1854,monastery,སྲིད་རྒྱལ་དགོན་ཆེན།,色迦更青寺,Sigyal Monastery,,,རྐོང་ཚུལ་སེ་མོ་བོན་ཐང་།,色迦棍钦寺,,sejia gengqing si,,29.540948,94.491967,1330,
