BDRC Resource ID,Gender,DOB,DOD,Traditions,Wiki-ID Traditions,Role1,Role2,Role3,Role4,Role5,Role6,Role7,Role8,label_bo,label_zh-hans,label_en,Alias_bo_1,Alias_bo_2,Alias_bo_3,Alias_bo_4,Alias_bo_5,Alias_bo_6,Alias_bo_7,Alias_bo_8,Alias_bo_9,Alias_bo_10,Alias_bo_11,Alias_bo_12,Alias_bo_13,Alias_bo_14,Alias_bo_15,Alias_bo_16,Alias_bo_17,Alias_zh_1,Alias_zh_2,Alias_en_1,Alias_en_2,Alias_en_3,Alias_en_4
P956,Male,,1774,KarmaKagyu,Q785447,contributing author,main author,commentator,compiler,reviser,translator,,,སི་ཏུ་ཆོས་ཀྱི་འབྱུང་གནས།,司徒·曲吉穹勒,Tai Situ 08,ཆོས་ཀྱི་འབྱུང་གནས།,མགོན་པོ་སྲུང་།,ཏའི་སི་ཏུ ༠༨,སི་ཏུ ༠༨་ཆོས་ཀྱི་འབྱུང་གནས།,སི་ཏུ་ཆོས་འབྱུང་།,ཀརྨ་བསྟན་པའི་ཉིན་བྱེད་གཙུག་ལག་ཆོས་ཀྱི་སྣང་བ།,སི་ཏུ་པཎ་ཆེན་ཆོས་ཀྱི་འབྱུང་གནས།,,,,,,,,,,,,,,,,
P719,Male,1570,1662,Kadam,Q588362,main author,contributing author,,,,,,,པཎ་ཆེན་བློ་བཟང་ཆོས་ཀྱི་རྒྱལ་མཚན།,,paN chen 04 blo bzang chos kyi rgyal mtshan (bkra shis lhun po lugs),བློ་བཟང་ཆོས་ཀྱི་གྲགས་པ།,ཆོས་ཀྱི་རྒྱལ་མཚན།,ཞྭ་ལུ་མཁན་ཆེན ༢༡,པཎ་ཆེན་བླ་མ ༠༤,པཎ་ཆེན ༠༡་བློ་བཟང་ཆོས་ཀྱི་རྒྱལ་མཚན།,བློ་བཟང་ཆོས་རྒྱན།,པཎ་ཆེན་བླ་མ ༠༡,བློ་བཟང་ཆོས་ཀྱི་རྒྱལ་མཚན།,སྣང་བ་མཐའ་ཡས་པཎ་ཆེན་བློ་བཟང་ཆོས་ཀྱི་རྒྱལ་མཚན།,འབྲས་སྤུངས་ཁྲི་པ།,ཆོས་རྒྱལ་དཔལ་ལྡན་བཟང་པོ།,,,,,,,,,,,,
P169,Male,1728,1791,Kadam,Q588362,contributing author,main author,,,,,,,འཇམ་དབྱངས་བཞད་པ ༠༢་དཀོན་མཆོག་འཇིགས་མེད་དབང་པོ།,嘉木样协巴·恭却晋美旺波,Konchok Jigme Wangpo,བླ་བྲང་དུས་འཁོར་ཁྲི ༠༡,སྐུ་འབུམ་ཁྲི་ཆེན ༣༠,བླ་བྲང་ཁྲི ༡༡་དཀོན་མཆོག་འཇིགས་མེད་དབང་པོ།,འཇམ་དབྱངས་བཞད་པ ༠༢,བླ་བྲང་སྨན་པ་ཁྲི ༠༡,འཇམ་དབྱངས་ལེགས་བཤད་འཕྲེང་བའི་བློ་གྲོས།,རྔ་ཡུལ་སྒོ་མང་མཁན་རབས ༠༡,བླ་བྲང་གདན་རབས ༡༡,སྒོ་བླ།,ངག་དབང་འཇམ་དབྱངས་འཕྲིན་ལས་རྒྱལ་མཚན།,དཀོན་མཆོག་འཇིགས་མེད་དབང་པོ།,བྱ་ཁྱུང་མཁན་རབས ༤༣,དཀོན་མཆོག་འཇིགས་མེད་དབང་པོ་ཡེ་ཤེས་བརྩོན་འགྲུས་གྲགས་པའི་སྡེ།,བླ་བྲང་ཁྲི ༡༡,,,,sku 'bum khri 30 dkon mchog 'jigs med dbang po,,,,,
P7359,Male,1887,1932,Nyingma,Q848771,contributing author,main author,,,,,,,པད་ནོར ༠༢་ཐུབ་བསྟན་ཆོས་ཀྱི་གླང་པོ།,,Penor 02,རིག་འཛིན་དཔལ་ཆེན་འདུས་པ།,དཔལ་ཡུལ་གདན་རབས ༠༩,འཇམ་དཔལ་གྲུབ་པའི་བློ་གྲོས།,པདྨ་མ་ཎི།,པད་ནོར ༠༢,པདྨ་ཀུན་བཟང་བསྟན་འཛིན་ནོར་བུ།,ཐུབ་བསྟན་ཆོས་ཀྱི་གླང་པོ།,དཔལ་ཡུལ་མཁན་རབས ༠༢,གྲུབ་དབང་པདྨ་ནོར་བུ།,,,,,,,,,,,,,,
P697,Male,1800,1855,Nyingma,Q848771,compiler,main author,contributing author,,,,,,རྒྱལ་སྲས་གཞན་ཕན་མཐའ་ཡས།,,Gyelse Zhenpen Taye Ozer,དགེ་མང ༠༡,དགེ་རྩེ་གཞན་ཕན་མཐའ་ཡས།,རྫོགས་ཆེན་མཁན་རབས ༠༢,རྫོགས་ཆེན་གདན་རབས ༠༨,རྫོགས་ཆེན་མཁན་རབས ༠༢་གཞན་ཕན་མཐའ་ཡས།,དགེ་མང་རྒྱལ་སྲས་གཞན་ཕན་མཐའ་ཡས།,གཞན་ཕན་མཐའ་ཡས་འོད་ཟེར།,རྫོགས་ཆེན་རྒྱལ་སྲས་གཞན་ཕན་མཐའ་ཡས།,,,,,,,,,,,,,,,
P1650,Male,1938,1989,Geluk,Q319218,main author,,,,,,,,ཆོས་ཀྱི་རྒྱལ་མཚན།,第十世班禅额尔德尼,,པཎ་ཆེན་བླ་མ ༡༠,བློ་བཟང་ཕྲིན་ལས་ལྷུན་གྲུབ་ཆོས་ཀྱི་རྒྱལ་མཚན།,བསྟན་འཛིན་ཕྲིན་ལས་འཇིགས་མེད་ཆོས་ཀྱི་དབང་ཕྱུག,པཎ་ཆེན་ཨེར་ཏི་ནི་ཆོས་ཀྱི་རྒྱལ་མཚན།,པཎ་ཆེན ༡༠་བློ་བཟང་ཕྲིན་ལས་ལྷུན་གྲུབ་ཆོས་ཀྱི་རྒྱལ་མཚན།,ཕྲིན་ལས་ལྷུན་གྲུབ་ཆོས་ཀྱི་རྒྱལ་མཚན།,ཆོས་ཀྱི་དབང་ཕྱུག,པཎ་ཆེན ༠༧་བློ་བཟང་ཕྲིན་ལས་ལྷུན་གྲུབ་ཆོས་ཀྱི་རྒྱལ་མཚན།,,,,,,,,,,罗桑赤列伦珠确吉坚赞,确吉坚赞,,,,
P65,Male,1364,1432,Sakya,Q650035,scribe,contributing author,main author,commentator,,,,,རྒྱལ་ཚབ་དར་མ་རིན་ཆེན།,贾策杰·达玛仁钦,Gyeltsabje Darma Rinchen,དར་མ་རིན་ཆེན།,རྒྱལ་ཚབ་རྗེ།,དགའ་ལྡན་ཁྲི་པ ༠༢,ཁྲི ༠༢་དར་མ་རིན་ཆེན།,དར་མ་རིན་ཆེན།,དགའ་ལྡན་ཁྲི་ཐོག་གཉིས་པ།,,,,,,,,,,,,,,,,,
P101,Male,1478,1554,Geluk,Q319218,contributing author,main author,,,,,,,པཎ་ཆེན་བསོད་ནམས་གྲགས་པ།,,,འབྲས་བློ་གླིང་མཁན་ཐོག ༡༢,འབྲས་སྤུངས་ཚོགས་ཆེན་ཁྲི་པ ༡༡,བསོད་ནམས་གྲགས་པ།,ཁྲི ༡༥་བསོད་ནམས་གྲགས་པ།,འབྲས་སྤུངས་ཁྲི་པ།,རྩེས་ཐང་པཎ་ཆེན་བསོད་ནམས་གྲགས་པ།,སྐྱོར་ལུང་མངའ་རིས་སྤྲུལ་སྐུ ༠༣,དགའ་ལྡན་ཁྲི་པ ༡༥,གཟིམས་ཁང་གོང་མ ༠༡,གཟིམས་ཁང་གོང་མ ༠༡་བསོད་ནམས་གྲགས་པ།,,,,,,,,,,,,,
P487,Male,1444,1495,,,compiler,contributing author,main author,,,,,,བདག་ཆེན་བློ་གྲོས་རྒྱལ་མཚན།,,Lodro Gyeltsen,འཁོན་སྟོན་བློ་གྲོས་རྒྱལ་མཚན།,ས་སྐྱ་ཁྲི་ཆེན ༢༡,ས་སྐྱ་ཁྲི་འཛིན ༢༡,རྒྱ་གར་བ་བློ་གྲོས་རྒྱལ་མཚན།,བདག་ཆེན་རྡོ་རྗེ་འཆང་ཆེན་པོ།,བདག་ཆེན་རྡོ་རྗེ་འཆང་བློ་གྲོས་རྒྱལ་མཚན།,ས་སྐྱ་བདག་ཆེན་བློ་གྲོས་རྒྱལ་མཚན།,བློ་གྲོས་རྒྱལ་མཚན།,ས་སྐྱ་ཁྲི་འཛིན ༢༡་བློ་གྲོས་རྒྱལ་མཚན།,ས་སྐྱ་གོང་མ།,,,,,,,,,,,,,
P3379,Male,,,Sakya,Q650035,compiler,reviser,translator,attributed author,Source Language Scholar,contributing author,main author,tertön,སློབ་དཔོན་མར་མེད་མཛད་བཟང་པོ།,阿底峡,atisha,ཇོ་བོ་རྗེ་དཔལ་ལྡན་ཨ་ཏི་ཤ,དཱི་པཾ་ཀ་ར་ཤྲཱི་ཛྙཱ་ན།,ཨ་ཏི་ཤ,དཔལ་མར་མེད་མཛད་དཔལ་ཡེ་ཤེས།,,,,,,,,,,,,,,,,,,,
