BDRC Resource ID,Gender,DOB,DOD,Traditions,Wiki-ID Traditions,Role1,Role2,Role3,Role4,Role5,Role6,Role7,Role8,label_bo,label_zh-hans,label_en,Alias_bo_1,Alias_bo_2,Alias_bo_3,Alias_bo_4,Alias_bo_5,Alias_bo_6,Alias_bo_7,Alias_bo_8,Alias_bo_9,Alias_bo_10,Alias_bo_11,Alias_bo_12,Alias_bo_13,Alias_bo_14,Alias_bo_15,Alias_bo_16,Alias_bo_17,Alias_zh_1,Alias_zh_2,Alias_en_1,Alias_en_2,Alias_en_3,Alias_en_4
P3624,Male,1839,1905,Geluk,Q319218,main author,,,,,,,,བླ་བྲང་ཁྲི་ངག་དབང་དགེ་འདུན་རྒྱ་མཚོ།,,,བླ་བྲང་གདན་རབས།,ངག་དབང་དགེ་འདུན་སངས་རྒྱས་རྒྱ་མཚོ།,དཀོན་མཆོག་ལུང་རིགས་རྒྱ་མཚོ།,འཇིགས་མེད་བསྟན་འཛིན།,ཆས་པ་རྒྱ་མཁར་བ་ངག་དབང་དགེ་འདུན་རྒྱ་མཚོ།,བླ་བྲང་ཁྲི།,ངག་དབང་དགེ་འདུན་རྒྱ་མཚོ།,རྒྱ་གར་བ་འཇམ་དཔལ་གྲུབ་པའི་རྡོ་རྗེ།,དགེ་འདུན་འཇམ་དཔལ་གྲུབ་པའི་རྡོ་རྗེ།,ཆས་པ་ངག་དབང་དགེ་འདུན་རྒྱ་མཚོ།,རྒྱ་མཁར་བ་ངག་དབང་དགེ་འདུན་རྒྱ་མཚོ།,,,,,,,,,,,,
P1019,Male,1251,1296,Kagyu,Q471187,main author,,,,,,,,སྟག་ལུང་པ་སངས་རྒྱས་དབོན་གྲགས་པ་དཔལ།,,Sanggye Onpo Drakpa Pel,མཆོག་སྤྲུལ་སངས་རྒྱས་དབོན་པོ།,གྲགས་པ་དཔལ།,དབོན་པོ་དཔལ།,གྲགས་པ་དཔལ་འོད་ཟེར་བཟང་པོ།,སངས་རྒྱས་དབོན།,སྟག་ལུང་པ་སངས་རྒྱས་དབོན།,དབོན་པོ་བླ་མ་རིན་པོ་ཆེ་དཔལ།,སངས་རྒྱས་དབོན་གྲགས་པ་དཔལ།,སངས་རྒྱས་དབོན་གྲགས་པ་དཔལ་འོད།,དབོན་པོ་དཔལ་གྲགས་པ་དཔལ་འོད་གསེར་བཟང་པོ།,,,,,,,,,,,,,
P4340,Male,1383,1450,Kadam,Q588362,main author,,,,,,,,གུང་རུ་རྒྱལ་མཚན་བཟང་པོ།,,,མཚུངས་མེད་ཆོས་རྗེ།,འཁར་ཐོགས་པ་རྒྱལ་མཚན་བཟང་པོ།,མཚུངས་མེད་ཆོས་རྗེ་རྒྱལ་མཚན་དཔལ་བཟང་།,འབྲས་སྤུངས་ཚོགས་ཆེན་གྱི་ཁྲི་པ ༠༣,རྒྱལ་མཚན་བཟང་པོ།,གསང་ཕུ་མཚུངས་མེད་ཆོས་རྗེ།,མདོ་ཁམས་སྟོད་པ་དྷྭ་ཛ་བྷ་དྲ།,སེ་ར་མཁན་པོ ༠༣་རྒྱལ་མཚན་བཟང་པོ།,མདོ་སྟོད་པ་རྒྱལ་མཚན་དཔལ་བཟང་།,འབྲས་སྤུངས་ཁྲི་པ།,,,,,,,,,,,,,
P846,Male,1768,1822,DrukpaKagyu,Q784270,compiler,main author,,,,,,,འབྲུག་ཆེན ༠༨་ཀུན་གཟིགས་ཆོས་ཀྱི་སྣང་བ།,,Kunzik Chokyi Nangwa,འབྲུག་ཆེན ༠༨,བཀའ་བརྒྱུད་བསྟན་པའི་རྒྱལ་མཚན་འགྱུར་མེད་ཡོངས་གྲུབ་དམ་ཆོས་ཉི་མ།,ཀུན་གཟིགས་ཆོས་ཀྱི་སྣང་བ།,དཀར་བརྒྱུད་བསྟན་པའི་རྒྱལ་མཚན།,བསམ་འཕེལ་ནོར་བུ།,འབྲུག་ཆེན ༠༨,མི་ཕམ་བསྟན་འཛིན་རྣམ་རྒྱལ།,འགྱུར་མེད་ཡོངས་གྲུབ་དམ་ཆོས་ཉི་མ།,,,,,,,,,,,,,,,
P1574,Male,1635,1688,Geluk,Q319218,,,,,,,,,ངག་དབང་བློ་གྲོས་རྒྱ་མཚོ།,,Lodro Gyatso,ཁྲི་རྒྱ་ནག་པ་བློ་གྲོས་རྒྱ་མཚོ།,ཁྲི ༤༤་ངག་དབང་བློ་གྲོས་རྒྱ་མཚོ།,ཁྲི་ཆེན་བློ་གྲོས་རྒྱ་མཚོ།,རྒྱ་ནག་པ་ངག་དབང་བློ་གྲོས་རྒྱ་མཚོ།,ཁྲི་ཆེན་ཀླུ་འབུམ་པ་ངག་དབག་བློ་གྲོས་རྒྱ་མཚོ།,དགའ་ལྡན་ཁྲི་པ ༤༤,འཇམ་དབྱངས་བླ་མ་ངག་དབང་བློ་གྲོས།,འབྲས་སྤུངས་སྒོ་མང་གྲྭ་ཚང་གི་མཁན་ཐོག ༢༨,"བློ་གྲོས་རྒྱ་མཚོ,་ཀླུ་འབུམ།",ཀླུ་འབུམ་བློ་གྲོས་རྒྱ་མཚོ།,,,,,,,,,,,,,
P801,Male,1697,1774,Sakya,Q650035,main author,compiler,reviser,translator,contributing author,,,,ཞུ་ཆེན་ཚུལ་ཁྲིམས་རིན་ཆེན།,许钦·楚臣仁钦,Zhuchen Tsultrim Rinchen,ཞུ་ཆེན་ལོ་ཙཱ་བ་ཚུལ་ཁྲིམས་རིན་ཆེན།,ངག་གི་དབང་པོ་འཇིགས་བྲལ་ཕྱོག་ལས་རྣམ་རྒྱལ།,ཚུལ་ཁྲིམས་རིན་ཆེན།,"ཀུན་དགའ་བསོད་ནམས,་ཞུ་ཆེན།",,,,,,,,,,,,,,,,,,,
P1317,Male,1326,1401,Kadam,Q588362,main author,contributing author,,,,,,,ལྷོ་བྲག་གྲུབ་ཆེན་ནམ་མཁའ་རྒྱལ་མཚན།,sle lung rje drung sprul sku 01,Drubchen Namkha Gyeltsen,ལྷོ་བྲག་ནམ་མཁའ་རྒྱལ་མཚན།,ལས་ཀྱི་རྡོ་རྗེ།,གྲུབ་ཆེན་ལས་ཀྱི་རྡོ་རྗེ།,གསང་འཛིན་ལས་ཀྱི་རྡོ་རྗེ།,ནམ་མཁའ་རྒྱལ་མཚན།,གསང་བདག་ནམ་མཁའ་རྒྱལ་མཚན།,,,,,,,,,,,,洛扎·朗喀坚赞,,,,,
P166,Male,1740,1827,Geluk,Q319218,contributing author,main author,commentator,,,,,,ཨ་ཀྱཱ་ཡོངས་འཛིན་བློ་བཟང་དོན་གྲུབ།,阿嘉经师洛桑顿珠,,བྱ་ཁྱུང་མཁན་རབས ༤༩,རྐ་ཕུག་གྲུབ་ཆེན་བློ་བཟང་དོན་གྲུབ།,བྱ་ཁྱུང་མཁན་རབས ༤༩་བློ་བཟང་དོན་གྲུབ།,རྐ་ཕུག་བློ་བཟང་དོན་གྲུབ།,དབྱངས་ཅན་དགའ་བའི་བློ་གྲོས།,ཨ་ཀྱཱ་ཡོངས་འཛིན་དབྱངས་ཅན་དགའ་བའི་བློ་གྲོས།,བློ་བཟང་དོན་གྲུབ།,,,,,,,,,,,,,,,,
P675,Male,1697,1740,,,main author,contributing author,,,,,,,འོལ་དགའ་རྗེ་དྲུང ༠༣་བཞད་པའི་རྡོ་རྗེ།,,Lobzang Trinle,འོལ་དགའ་རྗེ་དྲུང ༠༣,ཟིལ་གནོན་བཞད་པ་རྩལ།,པདྨ་བཞད་པའི་རྡོ་རྗེ།,བཞད་པའི་རྡོ་རྗེ།,བློ་བཟང་འཕྲིན་ལས།,སླེ་ལུང་རྗེ་དྲུང་སྤྲུལ་སྐུ ༠༥,བློ་བཟང་བསྟན་པ་གྲུབ་པའི་རྒྱལ་མཚན།,འཕྲིན་ལས་དབང་པོ།,སླེ་ལུང་རྗེ་དྲུང་བཞད་པའི་རྡོ་རྗེ།,སླེ་ལུང་བཞད་པའི་རྡོ་རྗེ།,,,,,,,,,,,,,
P425,Male,1647,1710,Nyingma,Q848771,main author,tertön,,,,,,,རིག་འཛིན་ཉི་མ་གྲགས་པ།,,Nyitul 01,ཉི་མ་གྲགས་པ་རྩལ།,ཉི་སྤྲུལ ༠༡,ཆགས་རི་ཉི་གྲགས་གར་དབང་འགྲོ་འདུལ་གླིང་པ།,ཨོ་རྒྱན་རིག་འཛིན་རྒྱ་མཚོ།,གར་དབང་འགྲོ་འདུལ་གླིང་པ།,ཉི་སྤྲུལ ༠༡་གར་དབང་འགྲོ་འདུལ་གླིང་པ།,གཏེར་སྟོན་ཉི་མ་གྲགས་པ།,ཆགས་རི་རིག་འཛིན་ཉི་མ་གྲགས་པ།,,,,,,,,,,,,,,,
P209,Male,1642,1714,Geluk,Q319218,contributing author,main author,attributed author,,,,,,ལྕང་སྐྱ ༠༢་ངག་དབང་བློ་བཟང་ཆོས་ལྡན།,章嘉·阿旺洛桑曲登,Ngawang Lobzang Choden,དགེ་འདུན་སྐྱབས།,ངག་དབང་བློ་བཟང་ཆོས་ལྡན།,"ངག་དབང་ཆོས་ལྡན,་ལྕང་སྐྱ།",བསྟན་འཛིན་ལེགས་བཤད་རྒྱ་མཚོ།,"བློ་བཟང་ཆོས་ལྡན,་ལྕང་སྐྱ།",ལྕང་སྐྱ ༠༢,,,,,,,,,,,,,,,,,
P4362,Male,1537,1603,Geluk,Q319218,main author,,,,,,,,རྟ་ཚག ༠༤་ལྷ་དབང་ཆོས་ཀྱི་རྒྱལ་མཚན།,,Lhawang Chokyi Gyeltsen,ཆབ་མདོ་བྱམས་པ་གླིང་གདན་རབས ༡༢,རྟ་ཚག ༠༤,རྟ་ཚག ༠༤,བ་སོ་ལྷ་དབང་ཆོས་ཀྱི་རྒྱལ་མཚན།,ཆོས་སྐྱོང་མགོན་པོ།,དཔའ་བོ་རྡོ་རྗེ།,ཆབ་མདོ་ཁྲི་རབས་ལྷ་དབང་ཆོས་ཀྱི་རྒྱལ་མཚན།,རྗེ་དྲུང་ལྷ་དབང་ཆོས་ཀྱི་རྒྱལ་མཚན།,ལྷ་དབང་ཆོས་ཀྱི་རྒྱལ་མཚན།,,,,,,,,,,,,,,
